data,company,n,delta,Lat,Lon
2017-06-08,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-06-08,EGAL SRL,19,0,45.5962,9.01754
2017-06-08,XIA JINGYE,1,0,45.6158,9.08152
2017-06-08,MADEBLACK SRL,111,0,45.6508,9.84802
2017-06-08,LASERGRAF SRL,63,0,45.6851,8.93814
2017-06-09,GESM SPA FASHION FACTORY,11,0,45.5846,10.4382
2017-06-09,EGAL SRL,6,0,45.5962,9.01754
2017-06-09,XIA JINGYE,1,1,45.6158,9.08152
2017-06-09,MADEBLACK SRL,29,0,45.6508,9.84802
2017-06-09,LASERGRAF SRL,33,0,45.6851,8.93814
2017-06-12,GESM SPA FASHION FACTORY,1,3,45.5846,10.4382
2017-06-12,EGAL SRL,30,0,45.5962,9.01754
2017-06-12,MADEBLACK SRL,91,0,45.6508,9.84802
2017-06-12,LASERGRAF SRL,33,0,45.6851,8.93814
2017-06-13,EGAL SRL,24,1,45.5962,9.01754
2017-06-13,MADEBLACK SRL,3,0,45.6508,9.84802
2017-06-13,LASERGRAF SRL,22,0,45.6851,8.93814
2017-06-14,EGAL SRL,5,1,45.5962,9.01754
2017-06-14,MADEBLACK SRL,68,0,45.6508,9.84802
2017-06-14,LASERGRAF SRL,29,0,45.6851,8.93814
2017-06-15,EGAL SRL,14,0,45.5962,9.01754
2017-06-15,MADEBLACK SRL,9,0,45.6508,9.84802
2017-06-15,LASERGRAF SRL,38,0,45.6851,8.93814
2017-06-16,GESM SPA FASHION FACTORY,7,0,45.5846,10.4382
2017-06-16,EGAL SRL,26,0,45.5962,9.01754
2017-06-16,XIA JINGYE,2,1,45.6158,9.08152
2017-06-16,MADEBLACK SRL,79,0,45.6508,9.84802
2017-06-16,LASERGRAF SRL,20,0,45.6851,8.93814
2017-06-19,GESM SPA FASHION FACTORY,1,3,45.5846,10.4382
2017-06-19,EGAL SRL,23,0,45.5962,9.01754
2017-06-19,XIA JINGYE,2,0,45.6158,9.08152
2017-06-19,MADEBLACK SRL,81,0,45.6508,9.84802
2017-06-19,LASERGRAF SRL,17,0,45.6851,8.93814
2017-06-20,EGAL SRL,14,0,45.5962,9.01754
2017-06-20,XIA JINGYE,1,1,45.6158,9.08152
2017-06-20,MADEBLACK SRL,49,0,45.6508,9.84802
2017-06-20,LASERGRAF SRL,59,0,45.6851,8.93814
2017-06-21,GESM SPA FASHION FACTORY,7,0,45.5846,10.4382
2017-06-21,EGAL SRL,24,0,45.5962,9.01754
2017-06-21,XIA JINGYE,4,0,45.6158,9.08152
2017-06-21,MADEBLACK SRL,111,0,45.6508,9.84802
2017-06-21,LASERGRAF SRL,89,0,45.6851,8.93814
2017-06-22,EGAL SRL,26,0,45.5962,9.01754
2017-06-22,XIA JINGYE,1,1,45.6158,9.08152
2017-06-22,MADEBLACK SRL,75,0,45.6508,9.84802
2017-06-22,LASERGRAF SRL,132,0,45.6851,8.93814
2017-06-23,GESM SPA FASHION FACTORY,4,0,45.5846,10.4382
2017-06-23,EGAL SRL,15,0,45.5962,9.01754
2017-06-23,XIA JINGYE,2,1,45.6158,9.08152
2017-06-23,MADEBLACK SRL,41,0,45.6508,9.84802
2017-06-23,LASERGRAF SRL,42,0,45.6851,8.93814
2017-06-26,GESM SPA FASHION FACTORY,1,0,45.5846,10.4382
2017-06-26,EGAL SRL,24,0,45.5962,9.01754
2017-06-26,XIA JINGYE,3,0,45.6158,9.08152
2017-06-26,MADEBLACK SRL,74,0,45.6508,9.84802
2017-06-26,LASERGRAF SRL,40,0,45.6851,8.93814
2017-06-27,GESM SPA FASHION FACTORY,1,1,45.5846,10.4382
2017-06-27,EGAL SRL,18,0,45.5962,9.01754
2017-06-27,XIA JINGYE,2,0,45.6158,9.08152
2017-06-27,MADEBLACK SRL,106,0,45.6508,9.84802
2017-06-27,LASERGRAF SRL,42,0,45.6851,8.93814
2017-06-28,GESM SPA FASHION FACTORY,3,1,45.5846,10.4382
2017-06-28,EGAL SRL,9,0,45.5962,9.01754
2017-06-28,XIA JINGYE,3,0,45.6158,9.08152
2017-06-28,MADEBLACK SRL,75,0,45.6508,9.84802
2017-06-28,LASERGRAF SRL,15,0,45.6851,8.93814
2017-06-29,GESM SPA FASHION FACTORY,2,0,45.5846,10.4382
2017-06-29,EGAL SRL,20,0,45.5962,9.01754
