data,company,n,delta,Lat,Lon
2017-07-04,OMS ITALIA SRL,1,1,43.7755,11.4399
2017-07-04,POLIBLEND SPA,1,0,45.6752,8.95576
2017-07-05,DELSA SRL,2,0,45.9492,8.77433
2017-07-05,S.R. PLAST DI RIMOLDI & C. SNC,1,0,45.6909,8.87246
2017-07-05,PRIORE SRL,6,0,45.7045,8.87429
2017-07-05,CAROLLO SRL,3,0,45.7542,8.89674
2017-07-05,IL GRANELLO SCARL,1,1,45.6588,8.97193
2017-07-06,CHERRY CHARM XIAO LING RAIMEN,5,0,33.0821,10.7031
2017-07-06,COLOR-PLAST SRL,7,0,45.7133,8.90516
2017-07-06,METALLURGICA LOMBARDA SRL,5,0,45.3987,8.91623
2017-07-06,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-07-07,MONTALBETTI MARIO S.N.C.,5,0,45.6909,8.87246
2017-07-07,OLTRONA PLAST SRL,1,0,45.7156,8.98307
2017-07-11,POLIBLEND SPA,1,1,45.6752,8.95576
2017-07-11,OLTRONA PLAST SRL,2,0,45.7156,8.98307
2017-07-12,CHERRY CHARM XIAO LING RAIMEN,7,0,33.0821,10.7031
2017-07-12,GLOBAL COMPANY SRL,4,0,45.7045,8.87429
2017-07-12,NOVA RAMPALUX SNC,2,0,45.6915,8.93154
2017-07-12,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-07-13,OROPRESS SPA,1,1,45.5445,9.16762
2017-07-14,CASSANOGOMMA SRL,2,0,45.6744,8.8243
2017-07-14,GAMMA PLAST SNC DI REGALIA FRA,1,1,45.6119,8.85205
2017-07-14,METALLURGICA LOMBARDA SRL,7,0,45.3987,8.91623
2017-07-17,C&C METAL PRODUCTS CORP.METAL,4,0,40.8929,-73.9726
2017-07-17,PRIORE SRL,3,3,45.7045,8.87429
2017-07-18,C&C METAL PRODUCTS CORP.METAL,4,0,40.8929,-73.9726
2017-07-18,CHERRY CHARM XIAO LING RAIMEN,2,0,33.0821,10.7031
2017-07-18,RIBELLE SRL UNIPERSONALE,1,0,44.8224,10.8892
2017-07-18,CAROLLO SRL,7,0,45.7542,8.89674
2017-07-18,BOMBELLI GIANCARLO SPA,1,1,45.5692,8.95994
2017-07-19,COLOR-PLAST SRL,10,0,45.7133,8.90516
2017-07-19,METALLURGICA LOMBARDA SRL,4,1,45.3987,8.91623
2017-07-20,C&C METAL PRODUCTS CORP.METAL,1,1,40.8929,-73.9726
2017-07-20,MANICARDI SRL,2,0,44.7836,10.8855
2017-07-20,GER.MAC STAMPI SAS,1,0,45.7133,8.90516
2017-07-20,MARIO UBOLDI,2,0,45.7133,8.90516
2017-07-20,DAL POZZOLO SRL,1,0,45.8,9.16667
2017-07-21,GAMMA PLAST SNC DI REGALIA FRA,1,1,45.6119,8.85205
2017-07-21,IL GRANELLO SCARL,5,0,45.6588,8.97193
2017-07-24,NORDIMBALLI SRL,1,0,45.7245,9.03806
2017-07-25,C&C METAL PRODUCTS CORP.METAL,3,0,40.8929,-73.9726
2017-07-26,C&C METAL PRODUCTS CORP.METAL,4,0,40.8929,-73.9726
2017-07-26,OMS ITALIA SRL,1,1,43.7755,11.4399
2017-07-26,METALLURGICA LOMBARDA SRL,4,0,45.3987,8.91623
2017-07-27,CIDIEMME S.R.L.,1,1,44.6459,10.9256
2017-07-28,PRIORE SRL,3,0,45.7045,8.87429
2017-07-28,COLOR-PLAST SRL,12,0,45.7133,8.90516
2017-07-28,NOVA RAMPALUX SNC,2,0,45.6915,8.93154
2017-07-28,OLTRONA PLAST SRL,1,1,45.7156,8.98307
2017-07-31,OLTRONA PLAST SRL,1,0,45.7156,8.98307
